test Acc	test Loss	time	
85.224433	1.615234	19.856838	
89.923023	1.572013	31.036228	
91.582525	1.554844	35.395573	
92.222333	1.548160	39.737691	
92.542237	1.544488	44.241627	
92.712186	1.542365	49.129429	
92.862141	1.540708	53.398211	
92.962111	1.539265	57.788497	
93.002099	1.538212	62.144352	
93.062081	1.537243	67.056356	
93.072078	1.536434	71.440788	
93.112066	1.535762	75.858982	
93.122063	1.535182	79.870347	
93.152054	1.534631	84.313094	
93.252024	1.534155	88.708965	
93.252024	1.533699	93.085186	
93.292012	1.533315	97.774720	
93.312006	1.532908	102.027214	
93.371988	1.532572	106.618083	
93.401979	1.532224	110.697314	
93.431970	1.531915	116.541879	
93.471958	1.531638	121.803232	
93.461961	1.531363	127.345783	
93.511946	1.531113	131.960589	
93.521943	1.530889	136.731356	
93.531940	1.530652	141.282948	
93.571928	1.530454	147.839139	
93.581925	1.530252	153.458975	
93.591922	1.530082	158.224635	
93.591922	1.529899	162.903023	
93.621913	1.529717	172.216589	
93.631910	1.529567	178.707460	
93.651904	1.529391	188.500050	
93.651904	1.529246	196.806751	
93.681895	1.529093	207.835682	
93.711886	1.528923	217.093482	
93.721883	1.528783	224.351336	
93.741877	1.528640	231.243815	
93.771868	1.528506	235.860081	
93.781865	1.528380	240.204344	
93.801859	1.528235	244.560199	
93.811856	1.528109	248.819922	
93.821853	1.527990	253.182377	
93.841847	1.527861	257.323714	
93.861841	1.527753	262.202026	
93.871838	1.527640	267.677135	
93.881835	1.527533	272.483931	
93.891832	1.527444	277.685112	
93.891832	1.527351	286.586029	
93.891832	1.527252	295.157186	
93.911826	1.527147	307.758960	
93.921823	1.527061	320.217788	
93.921823	1.526972	331.062800	
93.921823	1.526884	339.249970	
93.921823	1.526799	351.494434	
93.921823	1.526721	364.739772	
93.951814	1.526637	378.043072	
93.951814	1.526565	390.714941	
93.961811	1.526482	406.504945	
93.961811	1.526405	426.207340	
93.981805	1.526327	441.158227	
93.991802	1.526252	462.509719	
93.981805	1.526189	473.563581	
94.001799	1.526125	486.361142	
94.001799	1.526053	494.307990	
94.011796	1.525987	503.579445	
94.021793	1.525917	515.550762	
94.011796	1.525860	527.320935	
94.011796	1.525796	537.400331	
94.021793	1.525742	548.094664	
94.021793	1.525680	562.718221	
94.031790	1.525628	575.411446	
94.031790	1.525567	588.307132	
94.031790	1.525512	601.229085	
94.031790	1.525459	614.929582	
94.031790	1.525409	627.917084	
94.031790	1.525356	641.507136	
